circ,spb,base_ms,s1_ms,speedup,cli_ms,s1_over_cli,base_over_cli
distillation,92,11.604914260869565,9.031993413043478,1.2848674406815248,0.011275774735489979,801.0086778885088,1029.1899699223004
cultivation_d3,159,5.92701710691824,4.437304383647799,1.3357247090734363,0.0021384303638644917,2075.0287026550013,2771.6671101728816
cultivation_d5,18,70.59005655555556,59.724023555555554,1.1819373905693473,0.08242489997198095,724.5871523757723,856.4166481190944
coherent_d3_r1,578,1.3357168702422144,0.8039130173010381,1.6615191463456969,0.001257902014919915,639.090332765084,1061.8608241336296
coherent_d3_r3,127,5.97833742519685,4.609245685039371,1.2970316259342085,0.01377259427091155,334.6679350581279,434.07489595648775
coherent_d5_r1,147,5.552235598639456,3.758277448979592,1.4773352084867872,0.20775198208379275,18.090212239052253,26.725307469750486
coherent_d5_r5,5,129.3481852,122.6415606,1.054684762385517,8623.350636000001,0.014222031061569836,0.014999759450811223
coherent_rx_d3_r1,115,7.0078716869565225,6.1588916869565224,1.1378462299958927,0.12988800809865636,47.416938461928986,53.95318466685314
coherent_ry_d3_r3,1,464.487832,464.924583,0.9990605981787805,8.742713043209877,53.178524870044626,53.128568866931936
