N,simulator,repeat,seed,threads,status,exec_s,compile_s,sample_s,peak_mb
6,clifft,0,42,16,SUCCESS,0.001046,0.000986,6e-05,73.4
6,clifft,1,43,16,SUCCESS,0.001005,0.000945,6.1e-05,73.9
6,clifft,2,44,16,SUCCESS,0.000993,0.000936,5.8e-05,73.5
6,qiskit,0,42,16,SUCCESS,0.002219,0.0,0.0,82.7
6,qiskit,1,43,16,SUCCESS,0.002588,0.0,0.0,82.3
6,qiskit,2,44,16,SUCCESS,0.002623,0.0,0.0,82.5
6,qulacs,0,42,16,SUCCESS,0.000105,0.0,0.0,73.9
6,qulacs,1,43,16,SUCCESS,0.000108,0.0,0.0,73.9
6,qulacs,2,44,16,SUCCESS,0.000106,0.0,0.0,74.0
6,qsim,0,42,16,SUCCESS,0.006696,0.0,0.0,215.8
6,qsim,1,43,16,SUCCESS,0.006582,0.0,0.0,215.8
6,qsim,2,44,16,SUCCESS,0.006699,0.0,0.0,215.9
6,qrack,0,42,16,SUCCESS,0.006098,0.0,0.0,114.9
6,qrack,1,43,16,SUCCESS,0.005513,0.0,0.0,114.8
6,qrack,2,44,16,SUCCESS,0.005191,0.0,0.0,114.8
8,clifft,0,42,16,SUCCESS,0.001732,0.001659,7.2e-05,73.8
8,clifft,1,43,16,SUCCESS,0.001696,0.00163,6.6e-05,73.9
8,clifft,2,44,16,SUCCESS,0.001756,0.001701,5.4e-05,73.9
8,qiskit,0,42,16,SUCCESS,0.003999,0.0,0.0,83.5
8,qiskit,1,43,16,SUCCESS,0.00465,0.0,0.0,83.4
8,qiskit,2,44,16,SUCCESS,0.002893,0.0,0.0,82.7
8,qulacs,0,42,16,SUCCESS,0.000274,0.0,0.0,74.0
8,qulacs,1,43,16,SUCCESS,0.000273,0.0,0.0,74.0
8,qulacs,2,44,16,SUCCESS,0.000271,0.0,0.0,74.0
8,qsim,0,42,16,SUCCESS,0.011131,0.0,0.0,216.1
8,qsim,1,43,16,SUCCESS,0.0112,0.0,0.0,216.0
8,qsim,2,44,16,SUCCESS,0.011063,0.0,0.0,216.2
8,qrack,0,42,16,SUCCESS,0.008532,0.0,0.0,115.3
8,qrack,1,43,16,SUCCESS,0.009114,0.0,0.0,115.4
8,qrack,2,44,16,SUCCESS,0.009946,0.0,0.0,115.5
10,clifft,0,42,16,SUCCESS,0.002644,0.00253,0.000114,74.4
10,clifft,1,43,16,SUCCESS,0.002685,0.002568,0.000117,74.5
10,clifft,2,44,16,SUCCESS,0.00267,0.002574,9.5e-05,74.5
10,qiskit,0,42,16,SUCCESS,0.00687,0.0,0.0,83.6
10,qiskit,1,43,16,SUCCESS,0.006832,0.0,0.0,83.6
10,qiskit,2,44,16,SUCCESS,0.005671,0.0,0.0,83.9
10,qulacs,0,42,16,SUCCESS,0.001544,0.0,0.0,74.2
10,qulacs,1,43,16,SUCCESS,0.001472,0.0,0.0,74.2
10,qulacs,2,44,16,SUCCESS,0.001513,0.0,0.0,74.1
10,qsim,0,42,16,SUCCESS,0.016981,0.0,0.0,216.7
10,qsim,1,43,16,SUCCESS,0.016912,0.0,0.0,216.6
10,qsim,2,44,16,SUCCESS,0.016827,0.0,0.0,216.8
10,qrack,0,42,16,SUCCESS,0.016685,0.0,0.0,115.7
10,qrack,1,43,16,SUCCESS,0.015326,0.0,0.0,115.7
10,qrack,2,44,16,SUCCESS,0.016214,0.0,0.0,115.7
12,clifft,0,42,16,SUCCESS,0.004038,0.003702,0.000335,75.1
12,clifft,1,43,16,SUCCESS,0.004155,0.003739,0.000416,75.1
12,clifft,2,44,16,SUCCESS,0.003947,0.003615,0.000333,75.1
12,qiskit,0,42,16,SUCCESS,0.013419,0.0,0.0,84.7
12,qiskit,1,43,16,SUCCESS,0.015395,0.0,0.0,84.8
12,qiskit,2,44,16,SUCCESS,0.013122,0.0,0.0,84.6
12,qulacs,0,42,16,SUCCESS,0.005514,0.0,0.0,75.0
12,qulacs,1,43,16,SUCCESS,0.005298,0.0,0.0,75.1
12,qulacs,2,44,16,SUCCESS,0.00527,0.0,0.0,75.0
12,qsim,0,42,16,SUCCESS,0.02384,0.0,0.0,217.4
12,qsim,1,43,16,SUCCESS,0.023971,0.0,0.0,217.4
12,qsim,2,44,16,SUCCESS,0.023842,0.0,0.0,217.3
12,qrack,0,42,16,SUCCESS,0.041694,0.0,0.0,115.9
12,qrack,1,43,16,SUCCESS,0.040039,0.0,0.0,115.8
12,qrack,2,44,16,SUCCESS,0.043511,0.0,0.0,115.6
14,clifft,0,42,16,SUCCESS,0.006659,0.004947,0.001712,75.9
14,clifft,1,43,16,SUCCESS,0.006449,0.004902,0.001547,76.0
14,clifft,2,44,16,SUCCESS,0.006813,0.00501,0.001803,76.0
14,qiskit,0,42,16,SUCCESS,0.043236,0.0,0.0,85.4
14,qiskit,1,43,16,SUCCESS,0.041075,0.0,0.0,85.4
14,qiskit,2,44,16,SUCCESS,0.044295,0.0,0.0,85.6
14,qulacs,0,42,16,SUCCESS,0.007321,0.0,0.0,75.7
14,qulacs,1,43,16,SUCCESS,0.007169,0.0,0.0,75.7
14,qulacs,2,44,16,SUCCESS,0.00758,0.0,0.0,75.8
14,qsim,0,42,16,SUCCESS,0.033355,0.0,0.0,218.3
14,qsim,1,43,16,SUCCESS,0.033437,0.0,0.0,218.3
14,qsim,2,44,16,SUCCESS,0.033313,0.0,0.0,218.3
14,qrack,0,42,16,SUCCESS,0.115915,0.0,0.0,116.6
14,qrack,1,43,16,SUCCESS,0.112979,0.0,0.0,116.7
14,qrack,2,44,16,SUCCESS,0.110903,0.0,0.0,116.5
16,clifft,0,42,16,SUCCESS,0.013134,0.00647,0.006664,76.8
16,clifft,1,43,16,SUCCESS,0.013774,0.006524,0.007249,76.7
16,clifft,2,44,16,SUCCESS,0.015486,0.006833,0.008653,77.7
16,qiskit,0,42,16,SUCCESS,0.018351,0.0,0.0,85.1
16,qiskit,1,43,16,SUCCESS,0.019959,0.0,0.0,85.7
16,qiskit,2,44,16,SUCCESS,0.019703,0.0,0.0,85.2
16,qulacs,0,42,16,SUCCESS,0.020683,0.0,0.0,75.3
16,qulacs,1,43,16,SUCCESS,0.020565,0.0,0.0,75.7
16,qulacs,2,44,16,SUCCESS,0.01993,0.0,0.0,75.4
16,qsim,0,42,16,SUCCESS,0.04271,0.0,0.0,218.8
16,qsim,1,43,16,SUCCESS,0.043208,0.0,0.0,219.0
16,qsim,2,44,16,SUCCESS,0.042729,0.0,0.0,218.9
16,qrack,0,42,16,SUCCESS,0.220525,0.0,0.0,117.7
16,qrack,1,43,16,SUCCESS,0.224403,0.0,0.0,117.7
16,qrack,2,44,16,SUCCESS,0.219068,0.0,0.0,117.5
18,clifft,0,42,16,SUCCESS,0.020599,0.008576,0.012023,81.0
18,clifft,1,43,16,SUCCESS,0.019108,0.008298,0.01081,81.5
18,clifft,2,44,16,SUCCESS,0.019014,0.008432,0.010582,80.8
18,qiskit,0,42,16,SUCCESS,0.0327,0.0,0.0,90.4
18,qiskit,1,43,16,SUCCESS,0.032267,0.0,0.0,90.4
18,qiskit,2,44,16,SUCCESS,0.032651,0.0,0.0,90.3
18,qulacs,0,42,16,SUCCESS,0.065364,0.0,0.0,80.0
18,qulacs,1,43,16,SUCCESS,0.066429,0.0,0.0,80.1
18,qulacs,2,44,16,SUCCESS,0.066942,0.0,0.0,80.1
18,qsim,0,42,16,SUCCESS,0.054101,0.0,0.0,219.7
18,qsim,1,43,16,SUCCESS,0.054017,0.0,0.0,219.7
18,qsim,2,44,16,SUCCESS,0.054303,0.0,0.0,219.6
18,qrack,0,42,16,SUCCESS,0.645004,0.0,0.0,121.1
18,qrack,1,43,16,SUCCESS,0.643606,0.0,0.0,120.7
18,qrack,2,44,16,SUCCESS,0.622494,0.0,0.0,120.8
20,clifft,0,42,16,SUCCESS,0.045997,0.010455,0.035542,94.2
20,clifft,1,43,16,SUCCESS,0.041212,0.010191,0.031021,93.9
20,clifft,2,44,16,SUCCESS,0.036897,0.010327,0.02657,93.0
20,qiskit,0,42,16,SUCCESS,0.076684,0.0,0.0,99.4
20,qiskit,1,43,16,SUCCESS,0.077866,0.0,0.0,99.5
20,qiskit,2,44,16,SUCCESS,0.079077,0.0,0.0,99.3
20,qulacs,0,42,16,SUCCESS,0.291984,0.0,0.0,105.7
20,qulacs,1,43,16,SUCCESS,0.286647,0.0,0.0,105.7
20,qulacs,2,44,16,SUCCESS,0.284332,0.0,0.0,105.7
20,qsim,0,42,16,SUCCESS,0.070926,0.0,0.0,224.8
20,qsim,1,43,16,SUCCESS,0.072304,0.0,0.0,225.0
20,qsim,2,44,16,SUCCESS,0.070026,0.0,0.0,224.9
20,qrack,0,42,16,SUCCESS,1.287299,0.0,0.0,130.4
20,qrack,1,43,16,SUCCESS,1.304625,0.0,0.0,130.6
20,qrack,2,44,16,SUCCESS,1.285689,0.0,0.0,130.2
22,clifft,0,42,16,SUCCESS,0.180064,0.012513,0.167551,141.9
22,clifft,1,43,16,SUCCESS,0.122493,0.012757,0.109736,142.0
22,clifft,2,44,16,SUCCESS,0.131088,0.012708,0.118379,142.5
22,qiskit,0,42,16,SUCCESS,0.280773,0.0,0.0,149.6
22,qiskit,1,43,16,SUCCESS,0.280402,0.0,0.0,149.9
22,qiskit,2,44,16,SUCCESS,0.280107,0.0,0.0,149.8
22,qulacs,0,42,16,SUCCESS,1.485904,0.0,0.0,204.9
22,qulacs,1,43,16,SUCCESS,1.521576,0.0,0.0,204.9
22,qulacs,2,44,16,SUCCESS,1.487888,0.0,0.0,204.7
22,qsim,0,42,16,SUCCESS,0.104957,0.0,0.0,250.8
22,qsim,1,43,16,SUCCESS,0.106819,0.0,0.0,251.3
22,qsim,2,44,16,SUCCESS,0.104598,0.0,0.0,250.7
22,qrack,0,42,16,SUCCESS,3.97216,0.0,0.0,167.4
22,qrack,1,43,16,SUCCESS,4.056033,0.0,0.0,167.2
22,qrack,2,44,16,SUCCESS,4.011272,0.0,0.0,167.4
24,clifft,0,42,16,SUCCESS,0.955226,0.015249,0.939976,334.4
24,clifft,1,43,16,SUCCESS,0.858694,0.015564,0.84313,334.2
24,clifft,2,44,16,SUCCESS,0.89453,0.015462,0.879068,334.5
24,qiskit,0,42,16,SUCCESS,1.285646,0.0,0.0,344.7
24,qiskit,1,43,16,SUCCESS,1.253897,0.0,0.0,344.6
24,qiskit,2,44,16,SUCCESS,1.255403,0.0,0.0,344.5
24,qulacs,0,42,16,SUCCESS,13.009877,0.0,0.0,589.5
24,qulacs,1,43,16,SUCCESS,12.793276,0.0,0.0,589.2
24,qulacs,2,44,16,SUCCESS,12.901313,0.0,0.0,589.2
24,qsim,0,42,16,SUCCESS,0.250156,0.0,0.0,350.6
24,qsim,1,43,16,SUCCESS,0.246349,0.0,0.0,350.9
24,qsim,2,44,16,SUCCESS,0.246984,0.0,0.0,350.8
24,qrack,0,42,16,SUCCESS,17.245226,0.0,0.0,311.8
24,qrack,1,43,16,SUCCESS,17.162035,0.0,0.0,312.1
24,qrack,2,44,16,SUCCESS,16.816872,0.0,0.0,312.0
26,clifft,0,42,16,SUCCESS,6.525216,0.017918,6.507298,1105.5
26,clifft,1,43,16,SUCCESS,6.059331,0.018092,6.041239,1105.2
26,clifft,2,44,16,SUCCESS,6.264054,0.018022,6.246032,1105.5
26,qiskit,0,42,16,SUCCESS,5.926247,0.0,0.0,1113.0
26,qiskit,1,43,16,SUCCESS,5.875267,0.0,0.0,1112.6
26,qiskit,2,44,16,SUCCESS,5.891564,0.0,0.0,1112.7
26,qulacs,0,42,16,SUCCESS,75.059773,0.0,0.0,2126.0
26,qulacs,1,43,16,SUCCESS,74.852579,0.0,0.0,2125.6
26,qulacs,2,44,16,SUCCESS,74.673087,0.0,0.0,2125.9
26,qsim,0,42,16,SUCCESS,1.983648,0.0,0.0,735.9
26,qsim,1,43,16,SUCCESS,1.934885,0.0,0.0,735.6
26,qsim,2,44,16,SUCCESS,1.957062,0.0,0.0,735.9
26,qrack,0,42,16,SUCCESS,78.134266,0.0,0.0,888.9
26,qrack,1,43,16,SUCCESS,76.775516,0.0,0.0,888.7
26,qrack,2,44,16,SUCCESS,73.920669,0.0,0.0,888.8
28,clifft,0,42,16,SUCCESS,34.119645,0.021027,34.098618,4178.2
28,clifft,1,43,16,SUCCESS,33.843699,0.021213,33.822485,4178.4
28,clifft,2,44,16,SUCCESS,32.931918,0.021292,32.910626,4178.1
28,qiskit,0,42,16,SUCCESS,27.354105,0.0,0.0,4186.7
28,qiskit,1,43,16,SUCCESS,27.333109,0.0,0.0,4187.1
28,qiskit,2,44,16,SUCCESS,27.254216,0.0,0.0,4187.1
28,qulacs,0,42,16,SUCCESS,360.157966,0.0,0.0,8270.3
28,qulacs,1,43,16,SUCCESS,357.60864,0.0,0.0,8270.4
28,qulacs,2,44,16,SUCCESS,358.950309,0.0,0.0,8269.5
28,qsim,0,42,16,SUCCESS,10.557466,0.0,0.0,2271.6
28,qsim,1,43,16,SUCCESS,10.646028,0.0,0.0,2271.7
28,qsim,2,44,16,SUCCESS,10.554397,0.0,0.0,2271.4
28,qrack,0,42,16,SUCCESS,349.62003,0.0,0.0,3193.6
28,qrack,1,43,16,SUCCESS,352.497979,0.0,0.0,3193.8
28,qrack,2,44,16,SUCCESS,351.01762,0.0,0.0,3193.3
