circuit,axis,k_clifft,max_M,bounded_FLOP,clifft_FLOP_modeled,F_cl_over_F_bn,R_words,W_words,bytes,S_cl_over_S_bn,invocations,ms
coherent_d3_r1,R_Z,5,0,0,0,,0,0,0,10.70,9,11
coherent_d3_r3,R_Z,8,5,20458,273408,13.36,3108,1691,76800,17.85,286,11
coherent_d5_r1,R_Z,13,0,0,0,,0,0,0,2534.89,25,8
coherent_d5_r5,R_Z,24,13,48270794,159651987456,3307.42,8693520,2650655,181506816,4006.96,3140,262
coherent_d7_r1,R_Z,25,0,0,0,,0,0,0,,49,28
coherent_d7_r7,R_Z,48,INFEASIBLE,,,,,,,,,
surface_d7_r7,R_Z,0,0,0,0,,0,0,0,1.00,1,113
coherent_rx_d3_r1,R_X,14,11,497284,16875520,33.94,96892,31395,2052608,22.01,384,10
coherent_rx_d3_r3,R_X,14,12,3134196,49643520,15.84,634688,155387,12641216,8.45,1145,37
coherent_rx_d5_r1,R_X,38,INFEASIBLE,,,,,,,,,
coherent_rx_d5_r5,R_X,38,INFEASIBLE,,,,,,,,,
coherent_ry_d3_r1,R_Y,16,16,21948980,93978624,4.28,3110832,1829195,79040448,10.68,533,218
coherent_ry_d3_r3,R_Y,16,16,63391300,242089984,3.82,8768180,4714827,215728128,9.52,1251,685
coherent_ry_d5_r1,R_Y,47,INFEASIBLE,,,,,,,,,
coherent_ry_d5_r5,R_Y,47,INFEASIBLE,,,,,,,,,
cultivation_d3,T,4,4,5992,7072,1.18,753,595,21568,2.11,105,6
cultivation_d5,T,10,10,821144,1611776,1.96,98648,73210,2749728,2.27,410,118
distillation,T,5,4,1704,4992,2.93,344,279,9984,2.15,79,14
