circuit,peak_rank,clifft_unfused_flop,bounded_before_flop,bounded_after_flop,sqnorm_before_flop,sqnorm_after_flop
coherent_ry_d3_r1,16,12290000.0,21948980.0,17215664.0,5650860.0,655388.0
coherent_ry_d3_r3,16,,63391300.0,48357552.0,17786300.0,1966108.0
cultivation_d3,4,1800.0,5992.0,5532.0,880.0,300.0
cultivation_d5,10,212820.0,821144.0,731792.0,118304.0,20680.0
coherent_rx_d3_r3,12,2590000.0,3134196.0,1327960.0,2065164.0,184948.0
coherent_d3_r3,5,52560.0,20458.0,15526.0,6652.0,1228.0
coherent_rx_d3_r1,11,870380.0,497284.0,254104.0,287068.0,31348.0
coherent_d5_r5,13,17990000000.0,48270794.0,25110134.0,25519196.0,1684668.0
distillation,4,1900.0,1704.0,1556.0,412.0,188.0
